field_name,canonical_value,aliases,enabled,match_count,source_keywords,sample_titles,note
brand,아이폰,"iphone, 아이폰",1,6663,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 아이폰 17 프로 맥스, 맥북, 아이폰 17e, 아이패드",아이폰16PRO 투명케이스4종/갤럭시 S25+ 투명케이스3종 | 아이폰17 에어 <<갤럭시 s25나 엣지로 교환원합니다 | s25팔거나 갤럭시/아이폰과 교환(+추가금)하실분 찾습니다,검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
brand,갤럭시,"galaxy, 갤럭시",1,7770,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 갤럭시워치, 아이패드, 맥북",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | 갤럭시S25엣지/S25/S25플러스/S25울트라 삼성전자 정품 | [새상품/완납폰]갤럭시S25/S25플러스/S25울트라 쓰던 유심 그대로,검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
brand,애플,"apple, 애플",1,2572,"애플워치, 아이패드, 맥북, 에어팟 프로, 아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15","아이폰 16,17 프로, 맥스 애플정품 클리어케이스 미개봉 | 아이폰16e/미개봉정품/애플케어/새상품/애플코리아 | 아이폰16플러스[미사용/정품/새상품]apple care+",검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
brand,삼성,"samsung, 삼성",1,617,"갤럭시 s25, 갤럭시 s26, 갤럭시워치, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 아이패드, 아이폰 15",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | 갤럭시S25엣지/S25/S25플러스/S25울트라 삼성전자 정품 | 갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품,검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
brand,LG,"lg, 엘지",1,77,"갤럭시 s25, 갤럭시 s26, 아이폰 17, 맥북, 아이폰 16, 아이폰 17 프로, 갤럭시 s25 플러스, 아이패드",LG 갤럭시 S25 실버 256G 구성품 미사용 S급 풀박스 판매 | LG 갤럭시 S25 5G 블루 256G S급 판매합니다 | LGT 갤럭시 s25 실버 256GB,검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
model,16,"16, 아이폰16, iphone16",1,3290,"아이폰 16, 맥북, 갤럭시 s26, 아이폰 17, 아이폰 17 프로, 아이패드, 갤럭시 s25, 아이폰 17 프로 맥스",갤럭시S25울트라 1Tb 16Ram 제트블랙(1테라) | 갤럭시 S25 울트라 16GB 1TB 자급제 | 갤럭시 S25 울트라 256GB 그레이 [75161],검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
model,16 pro,"16pro, 16프로, 16 pro, 16 프로",1,1165,"아이폰 16, 아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스, 갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 17e",아이폰16PRO 투명케이스4종/갤럭시 S25+ 투명케이스3종 | 아이폰17 16프로 맥스 갤럭시 S26 울트라 폴드7 울트라 자급제사요 | 아이폰16프로 케이스티파이 임팩트 맥세이프 케이스,검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
model,16 pro max,"16promax, 16프로맥스, 16 pro max, 16 프로 맥스",1,332,"아이폰 16, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17, 갤럭시 s26 울트라, 갤럭시 s26",아이폰17 16프로 맥스 갤럭시 S26 울트라 폴드7 울트라 자급제사요 | 아이폰 16 프로맥스 정품 케이스 (미개봉) | [새상품/미개봉/정품]아이폰16프로맥스,검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
model,17,"17, 아이폰17, iphone17",1,3424,"아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 17e, 아이폰 16, 갤럭시 s25, 갤럭시 s26, 맥북","아이폰17 에어 <<갤럭시 s25나 엣지로 교환원합니다 | 갤럭시s26울트라 512기가 자급제 17프로,17프맥 교신 | 갤럭시s26울트라랑 교환하실 아이폰17프로있나요",검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
model,17e,"17e, 아이폰17e, iphone17e",1,198,"아이폰 17e, 아이폰 17, 아이폰 16, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 15","[미사용/새상품]아이폰17E 재고정리 할인 [13,14,15,16,프로] | Casetify 쿠로미 블랙 폰케이스 /아이폰16e 17e 케이스 | [일괄] 아이폰 17e / 16e 케이스 아이썸머리 마페아 핑크호피",검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
model,17 pro,"17pro, 17프로, 17 pro, 17 프로",1,2259,"아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스, 아이폰 16, 아이폰 17e, 아이패드, 갤럭시 s26, 갤럭시 s26 울트라","갤럭시s26울트라 512기가 자급제 17프로,17프맥 교신 | 갤럭시s26울트라랑 교환하실 아이폰17프로있나요 | 갤럭시S26 울트라 플립7 폴드7 아이폰17프로 맥스 미개봉 삽니다",검토 후 config/product_token_dictionary.csv에 필요한 행만 복사
