token,count,suggested_usage,source_keywords,sample_titles
갤럭시,2970,product_token_dictionary brand 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 갤럭시워치, 갤럭시 s26 엣지, 아이폰 17",갤럭시 S25 울트라 케이스 | 갤럭시 S25울트라1tb 블랙 팜니다 | 케이스티파이 짱구 갤럭시 S25 울트라 케이스
아이폰,2735,product_token_dictionary brand 후보,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 맥북, 아이폰 17 프로 맥스, 아이폰 17e, 아이패드","갤럭시S26울트라 대여 (전석 망원 직캠 가능) 아이폰 | 아이폰 16,17 프로, 맥스 애플정품 클리어케이스 미개봉 | 아이폰 16 프로맥스 정품 케이스 (미개봉)"
케이스,2666,token_exclude_list 후보,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 에어팟 프로, 갤럭시 s25, 아이패드, 갤럭시 s26",갤럭시 S25 울트라 케이스 | 케이스티파이 짱구 갤럭시 S25 울트라 케이스 | 갤럭시S25울트라 호환 맨유 골드 앰블럼 굿즈 케이스 판매
프로,2337,product_token_dictionary detail 후보,"에어팟 프로, 아이패드, 맥북, 아이폰 17 프로, 아이폰 17, 아이폰 16, 아이폰 15, 아이폰 17 프로 맥스","Freewell 프리웰 갤럭시 s25 울트라 프로 필름메이커 케이스 | [미개봉] 슈피겐 갤럭시 카메라 렌즈 보호 강화유리 필름 글라스tR 옵틱 프로 갤럭시S25 울트라, 2매입 | 갤럭시 S26 플립7 아이폰17 프로 데저트 마린 자급제 미개봉사요"
미개봉,2142,검토 필요,"갤럭시 s26, 아이폰 17, 갤럭시 s26 울트라, 아이패드, 닌텐도 스위치, 갤럭시 s25, 에어팟 프로, 아이폰 16",갤럭시S25울트라/삼성전자/새상품/풀박스/미개봉/정품 | 갤럭시S25울트라/삼성전자/정품/미개봉/풀박스/새상품 | 갤럭시S25/갤럭시S25플러스/갤럭시S25울트라 미개봉 시리즈
256gb,1990,product_token_dictionary spec 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 17, 아이패드, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 맥북",갤럭시 S25 울트라 256GB | 갤럭시s25울트라 256gb 판매합니다(티타늄 그레이) | 갤럭시 S25 울트라 256GB 그레이 [75161]
플러스,1738,product_token_dictionary detail 후보,"갤럭시 s25, 아이패드, 갤럭시 s25 플러스, 갤럭시 s26, 아이폰 16, 닌텐도 스위치, 애플워치, 아이폰 17","갤럭시s25울트라 다이어리 지갑형 스트랩+크로스 스트랩가죽 케이스 | [할인특가/미사용]갤럭시S25엣지 판매합니다+23,24,26,울트라시리즈 | [할인특가/미사용]갤럭시S25울트라 판매합니다 +23,24,26시리즈"
닌텐도,1629,검토 필요,"닌텐도 스위치, 플스5, 아이패드, 애플워치",[무료배송 1+1]아이패드 충전기 닌텐도 충전기 c to c 케이블 애플 | 2M 아이패드 충전기 닌텐도 충전기 애플 충전기 c to c 폭스콘케이블 | [번개장터1위] 아이패드 충전기 닌텐도 충전기 c to c 폭스콘케이블
블랙,1577,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 16, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 갤럭시 s25 플러스, 애플워치, 아이폰 17",갤럭시 S25울트라1tb 블랙 팜니다 | [00866] 당일발송 갤럭시S25울트라 S938 512GB 무잔상 블랙 | 갤럭시S25울트라 256기가 블랙 (S급) / 0506
아이패드,1521,검토 필요,"아이패드, 맥북, 애플워치, 에어팟 프로, 아이폰 15, 갤럭시 s26, 아이폰 16, 갤럭시 s25","아이패드매입 아이패드.갤럭시탭.갤럭시폴드.제트플립.s26.s25.s24 | [1M]애플정품 60W케이블, 아이폰16케이블,아이패드,맥북케이블 | [17개] 애플박스 일괄 (아이폰17,아이폰,에어팟,맥북,아이패드)"
